,beneficio %,rutas
0,0.0007514452000201288,"['EUR', 'LBP', 'EUR']"
1,0.0002995309999809237,"['EUR', 'BIF', 'EUR']"
2,0.004543999999984116,"['EUR', 'AUD', 'EUR']"
3,0.0518333312000463,"['EUR', 'IDR', 'EUR']"
4,0.003268758600039057,"['EUR', 'UZS', 'EUR']"
5,0.0101886000000162,"['EUR', 'ETB', 'EUR']"
6,0.06728595290002026,"['EUR', 'CAD', 'BOB', 'EUR']"
7,0.004033999999997206,"['EUR', 'BND', 'EUR']"
8,0.01474999999999671,"['EUR', 'RON', 'EUR']"
9,2.452510385000095,"['EUR', 'RSD', 'SBD', 'EUR']"
10,0.2920373066239934,"['EUR', 'SCR', 'DJF', 'EUR']"
11,0.00336171450259215,"['EUR', 'FOK', 'COP', 'EUR']"
12,0.1459313120000028,"['EUR', 'NZD', 'SBD', 'EUR']"
13,1.377758167999987,"['EUR', 'MGA', 'EUR']"
14,0.0007316763000364546,"['EUR', 'IQD', 'EUR']"
15,0.00143790000000088,"['EUR', 'TJS', 'EUR']"
16,0.003075052400047795,"['EUR', 'COP', 'EUR']"
17,0.007147999999990162,"['EUR', 'PLN', 'EUR']"
18,0.02870185999992447,"['EUR', 'SOS', 'EUR']"
19,0.4364981830000891,"['EUR', 'CRC', 'ERN', 'EUR']"
20,0.2469961215999961,"['EUR', 'PGK', 'SHP', 'EUR']"
21,0.2569201504000196,"['EUR', 'FJD', 'ERN', 'EUR']"
22,0.006451399999995999,"['EUR', 'SZL', 'EUR']"
23,0.0159031996100456,"['EUR', 'MOP', 'HTG', 'EUR']"
24,5.400000000488347e-05,"['EUR', 'BAM', 'EUR']"
25,0.00466792575999353,"['EUR', 'MRU', 'NZD', 'EUR']"
26,0.001627282699989685,"['EUR', 'CDF', 'EUR']"
27,0.00819500000004414,"['EUR', 'UAH', 'EUR']"
28,0.01089672000003095,"['EUR', 'MMK', 'EUR']"
29,0.0007459886001370819,"['EUR', 'KHR', 'EUR']"
30,0.01782529999998506,"['EUR', 'TWD', 'EUR']"
31,0.05865403279998738,"['EUR', 'GEL', 'GIP', 'EUR']"
32,0.009491840000053209,"['EUR', 'MWK', 'EUR']"
33,0.007284000000007396,"['EUR', 'ANG', 'EUR']"
34,0.03270719999997063,"['EUR', 'BDT', 'EUR']"
35,0.2261504620000077,"['EUR', 'LAK', 'EUR']"
36,0.006144800000051909,"['EUR', 'ERN', 'EUR']"
37,0.4639419737833217,"['EUR', 'GEL', 'GTQ', 'JEP', 'EUR']"
38,0.291352191733707,"['EUR', 'TMT', 'INR', 'GIP', 'EUR']"
39,0.1836468222400134,"['EUR', 'DOP', 'ANG', 'EUR']"
40,0.00241966000000815,"['EUR', 'LRD', 'EUR']"
41,0.4540510337616599,"['EUR', 'JMD', 'VND', 'EUR']"
42,0.00907639999998544,"['EUR', 'MXN', 'EUR']"
43,0.004482200000022196,"['EUR', 'MDL', 'EUR']"
44,0.02902619153597463,"['EUR', 'KID', 'SOS', 'EUR']"
45,0.1956222159199994,"['EUR', 'PKR', 'XCD', 'EUR']"
46,0.2538756620699578,"['EUR', 'NIO', 'GGP', 'EUR']"
47,2.5292206092,"['EUR', 'MZN', 'LKR', 'EUR']"
48,0.007982000000006373,"['EUR', 'BBD', 'EUR']"
49,0.01625642659992543,"['EUR', 'XAF', 'SCR', 'EUR']"
50,0.04916500000000656,"['EUR', 'TTD', 'EUR']"
51,0.03137200000002949,"['EUR', 'HKD', 'EUR']"
52,0.001288594400050691,"['EUR', 'SYP', 'EUR']"
53,0.02379915000001454,"['EUR', 'CLP', 'EUR']"
54,0.05844653130879784,"['EUR', 'XAF', 'IDR', 'EUR']"
55,0.009000000000014552,"['EUR', 'STN', 'EUR']"
56,0.0006841699999426964,"['EUR', 'DZD', 'EUR']"
57,0.366588000000001,"['EUR', 'BYN', 'EUR']"
58,1.92752737326396,"['EUR', 'VUV', 'SOS', 'EUR']"
59,0.4513227527600527,"['EUR', 'PGK', 'INR', 'EUR']"
60,0.005000480000050267,"['EUR', 'KES', 'EUR']"
61,0.01770880000000474,"['EUR', 'UYU', 'EUR']"
62,0.03682631359995803,"['EUR', 'TRY', 'LYD', 'EUR']"
63,0.1247848999999857,"['EUR', 'MAD', 'EUR']"
64,0.226239095752101,"['EUR', 'ALL', 'GIP', 'EUR']"
65,0.002007170000029035,"['EUR', 'YER', 'EUR']"
66,0.09677854000003094,"['EUR', 'LKR', 'EUR']"
67,0.1252559999999958,"['EUR', 'TND', 'EUR']"
68,0.186100255999988,"['EUR', 'MYR', 'BMD', 'EUR']"
69,0.02133656000002926,"['EUR', 'SDG', 'EUR']"
70,0.00374999999999126,"['EUR', 'VES', 'EUR']"
71,0.00709500000002361,"['EUR', 'SBD', 'EUR']"
72,0.01117431872001973,"['EUR', 'KID', 'ERN', 'EUR']"
73,0.001876754999963204,"['EUR', 'KRW', 'EUR']"
74,0.01049888000004273,"['EUR', 'NGN', 'EUR']"
75,0.2674420700293112,"['EUR', 'VND', 'LYD', 'EUR']"
76,0.003181072850022559,"['EUR', 'CUP', 'PAB', 'EUR']"
77,0.002241182000006781,"['EUR', 'MOP', 'JOD', 'EUR']"
78,0.004995257634243799,"['EUR', 'QAR', 'CDF', 'EUR']"
79,0.05103260000001164,"['EUR', 'RUB', 'EUR']"
80,0.03118720000001574,"['EUR', 'MUR', 'EUR']"
81,0.07398643199998389,"['EUR', 'AED', 'MUR', 'EUR']"
82,0.9539318181799983,"['EUR', 'KGS', 'MDL', 'EUR']"
83,0.003033494000015402,"['EUR', 'OMR', 'GGP', 'EUR']"
84,0.007594999999982477,"['EUR', 'MKD', 'EUR']"
85,0.006457700000028765,"['EUR', 'SRD', 'EUR']"
86,0.09030036742398995,"['EUR', 'AED', 'NGN', 'EUR']"
87,0.5576223173600292,"['EUR', 'ZWL', 'QAR', 'EUR']"
88,0.2342229707000154,"['EUR', 'NIO', 'BOB', 'EUR']"
89,0.02347195359997389,"['EUR', 'XOF', 'TJS', 'EUR']"
90,0.01311200000002621,"['EUR', 'NOK', 'EUR']"
91,0.001735999999996629,"['EUR', 'XDR', 'EUR']"
92,0.04655975930007994,"['EUR', 'PYG', 'EUR']"
93,0.3092772480651096,"['EUR', 'SHP', 'VND', 'EUR']"
94,0.362089831225032,"['EUR', 'CNY', 'FJD', 'SHP', 'EUR']"
95,0.004973900000049269,"['EUR', 'ARS', 'EUR']"
96,0.01840699999999806,"['EUR', 'LYD', 'EUR']"
97,0.00815299999998853,"['EUR', 'ZAR', 'EUR']"
98,0.1865981786000059,"['EUR', 'HNL', 'CHF', 'EUR']"
99,0.04056094564401924,"['EUR', 'MOP', 'SOS', 'EUR']"
100,0.03946612819043516,"['EUR', 'NZD', 'COP', 'EUR']"
101,0.2948153855999891,"['EUR', 'PEN', 'ZMW', 'EUR']"
102,0.0101581703518594,"['EUR', 'VND', 'CVE', 'EUR']"
103,0.003701571799963332,"['EUR', 'ZWL', 'CVE', 'EUR']"
104,0.001229000000013691,"['EUR', 'HRK', 'GHS']"
105,0.01253392000002407,"['EUR', 'SSP', 'EUR']"
106,0.006207500000021682,"['EUR', 'MVR', 'EUR']"
107,0.03412272524603299,"['EUR', 'DKK', 'MMK', 'EUR']"
108,0.1444289999999793,"['EUR', 'BRL', 'TVD', 'EUR']"
109,0.334776112900026,"['EUR', 'GHS', 'JEP', 'EUR']"
110,0.5385225355999834,"['EUR', 'QAR', 'MAD', 'EUR']"
111,0.1446527507519946,"['EUR', 'BRL', 'SDG', 'EUR']"
112,2.793568568750038,"['EUR', 'HNL', 'RUB', 'EUR']"
113,0.04627491230000391,"['EUR', 'MOP', 'ZAR', 'EUR']"
114,0.01705373999998372,"['EUR', 'KMF', 'EUR']"
115,0.1727723572999773,"['EUR', 'ZMW', 'NIO', 'EUR']"
116,0.01239490250000141,"['EUR', 'CVE', 'PLN', 'EUR']"
117,0.004004838649973586,"['EUR', 'CVE', 'LRD', 'EUR']"
118,1.013291445599895,"['EUR', 'VUV', 'ZWL', 'EUR']"
119,0.0159517999999359,"['EUR', 'KZT', 'EUR']"
120,0.01276100000000557,"['EUR', 'ILS', 'EUR']"
121,0.0178502423900273,"['EUR', 'GTQ', 'TRY', 'EUR']"
