,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,FOK,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KID,KMF,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STN,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XDR,XOF,XPF,YER,ZAR,ZMW,ZWL
AED,1.0,23.907,30.3579,128.3441,0.4874,114.8201,30.7347,0.3677,0.4874,0.4619,0.4925,0.5446,23.2171,0.4925,0.1024,548.9041,0.2723,0.3694,1.8701,1.2806,0.2723,20.763,3.1562,0.7803,0.5446,0.3432,544.0546,0.2566,221.4571,1.7372,1008.2439,177.4292,6.5351,27.7677,6.1433,48.3924,1.8787,14.9412,39.0315,5.0211,4.0844,13.987,0.2518,0.5723,0.2086,1.8787,0.2086,0.8353,0.2086,2.1144,0.2086,14.6753,2422.4863,2.0834,56.9036,2.1369,6.6695,1.8974,29.2577,94.3872,3888.9163,0.8757,0.2086,20.7636,396.7368,11446.6825,35.2856,0.2086,42.0789,0.1931,34.4178,31.4903,22.9603,1099.2603,0.3677,123.891,334.1228,0.08159,0.2269,123.46,3576.3641,410.4833,86.0044,41.5275,3.9823,1.2771,2.6042,5.0264,1087.6705,15.4346,498.7867,825.8086,2.201,9.8999,11.4162,4.1954,222.6799,5.4377,1.1486,17.5299,3.9823,113.0166,9.7335,2.396,33.2208,0.4021,0.1047,0.2723,1.0162,0.9593,14.2016,49.3924,1.162,1847.6536,0.9912,1.2406,29.646,22.0671,285.6472,1.0211,2.1637,3.9217,121.3258,2.6007,0.3694,0.2086,3300.8949,157.2491,5.6427,115.9346,6.1698,685.8205,3.9823,9.1631,3.4036,0.9526,0.7682,0.6083,3.9845,1.8439,0.3677,7.8958,632.5583,8.0001,958.5267,0.2723,11.2434,3069.6199,1.2055,6234.5242,30.383,0.6985,165.1879,0.7352,0.1991,165.1879,30.0511,68.1527,3.9823,4.7398,40.8936
AFN,0.04183,1.0,1.2698,5.3826,0.02039,4.9231,1.2856,0.0153,0.02039,0.01935,0.02048,0.02278,0.9821,0.02048,0.004283,23.3313,0.01139,0.01543,0.0783,0.05363,0.01139,0.8668,0.1311,0.03762,0.02278,0.01431,22.7434,0.01067,9.2078,0.07259,42.6386,7.4486,0.2734,1.1545,0.2557,2.0242,0.07812,0.6247,1.6326,0.2104,0.1708,0.5851,0.01047,0.02398,0.008681,0.07812,0.008681,0.03507,0.008681,0.08499,0.008681,0.6138,101.3285,0.08737,2.3802,0.08933,0.279,0.07889,1.2277,3.9425,163.5554,0.03654,0.008681,0.8668,16.5948,477.8333,1.476,0.008681,1.762,0.008075,1.4273,1.3153,0.9787,45.9802,0.0153,5.1512,13.9755,0.003413,0.009491,5.1398,134.8634,17.17,3.6712,1.737,0.1668,0.05342,0.1117,0.21,45.9802,0.6465,21.0944,34.5422,0.09201,0.4141,0.4935,0.1758,9.2082,0.2261,0.0482,0.7285,0.1668,4.7224,0.4071,0.09982,1.3869,0.01671,0.004379,0.01139,0.04249,0.04013,0.5942,2.0675,0.04872,78.1075,0.04146,0.0518,1.2338,0.9394,11.5715,0.04271,0.09203,0.164,5.077,0.1079,0.01543,0.008681,138.0708,6.5775,0.236,4.8661,0.2565,28.6871,0.1668,0.3834,0.1421,0.03971,0.03406,0.02564,0.1665,0.07738,0.0153,0.3306,26.4025,0.3361,40.0156,0.01139,0.4714,128.5989,0.05042,260.5081,1.2713,0.02944,6.8683,0.03075,0.00833,6.8683,1.2495,2.8507,0.1668,0.1976,1.7101
ALL,0.03294,0.7875,1.0,4.2402,0.01606,3.8783,1.0124,0.01204,0.01606,0.01524,0.01612,0.01794,0.7734,0.01612,0.003373,18.3796,0.008969,0.01214,0.06166,0.0422,0.008969,0.6822,0.1033,0.02963,0.01794,0.01126,17.9165,0.008396,7.2466,0.05713,33.5781,5.8658,0.2153,0.9086,0.2012,1.5941,0.06148,0.492,1.2857,0.1657,0.1345,0.4609,0.00824,0.01889,0.006832,0.06148,0.006832,0.02763,0.006832,0.06695,0.006832,0.4836,79.8233,0.0688,1.875,0.07031,0.2197,0.06209,0.9671,3.1028,128.7191,0.02876,0.006832,0.6822,13.0729,376.4216,1.1623,0.006832,1.3876,0.006359,1.1233,1.0358,0.771,36.2217,0.01204,4.0541,10.9988,0.002688,0.007475,4.0476,106.2054,13.5214,2.8911,1.3679,0.1313,0.04208,0.088,0.1654,36.2217,0.5093,16.6119,27.2112,0.07242,0.3262,0.3886,0.1384,7.2539,0.178,0.03793,0.5739,0.1313,3.7189,0.3206,0.07856,1.0915,0.01315,0.003449,0.008969,0.03346,0.0316,0.4676,1.6281,0.03836,61.5096,0.03265,0.04076,0.9716,0.7398,9.1156,0.03364,0.07248,0.1292,3.9995,0.08489,0.01214,0.006832,108.7677,5.1815,0.1859,3.8334,0.2019,22.5911,0.1313,0.3017,0.112,0.03128,0.02682,0.02019,0.1311,0.06094,0.01204,0.2603,20.799,0.2645,31.523,0.008969,0.3712,101.3061,0.03971,205.1508,1.0011,0.02318,5.4054,0.02422,0.00656,5.4054,0.9834,2.245,0.1313,0.1556,1.3472
AMD,0.007792,0.1858,0.2358,1.0,0.003798,0.9146,0.2383,0.002865,0.003798,0.003598,0.00384,0.004243,0.1821,0.00384,0.00079772,4.3346,0.002122,0.00288,0.01452,0.009977,0.002122,0.1618,0.02426,0.006033,0.004243,0.002673,4.2254,0.001999,1.7255,0.01354,7.9291,1.377,0.05092,0.2165,0.04801,0.3771,0.01465,0.1161,0.3029,0.03908,0.03182,0.1087,0.001963,0.004449,0.001624,0.01465,0.001624,0.006508,0.001624,0.01579,0.001624,0.114,18.8254,0.0162,0.4422,0.01665,0.05183,0.01479,0.2281,0.7385,30.3007,0.00684,0.001624,0.1618,3.0831,89.1876,0.2758,0.001624,0.3269,0.001504,0.2683,0.2439,0.1789,8.5425,0.002865,0.9659,2.6109,0.00063569,0.001768,0.9628,25.0831,3.1983,0.6808,0.3222,0.0311,0.009924,0.02078,0.03916,8.5425,0.1201,3.9114,6.4174,0.01715,0.07693,0.09202,0.03265,1.7108,0.04237,0.008949,0.1354,0.0311,0.8758,0.07565,0.01864,0.2588,0.003133,0.00081575,0.002122,0.007875,0.007443,0.1107,0.3837,0.009089,14.4188,0.007723,0.009709,0.2309,0.1715,2.1498,0.007956,0.01707,0.03045,0.9432,0.02025,0.00288,0.001624,25.6516,1.222,0.04385,0.9041,0.0481,5.3265,0.0311,0.07139,0.02652,0.007422,0.006326,0.004736,0.03107,0.01435,0.002865,0.06131,4.9052,0.06257,7.4343,0.002122,0.08757,23.9172,0.009392,48.3501,0.235,0.005447,1.2879,0.005728,0.001547,1.2879,0.2343,0.5286,0.0311,0.0367,0.3177
ANG,2.0517,49.0493,62.2847,263.3204,1.0,235.5736,63.0576,0.7544,1.0,0.9477,1.0105,1.1173,47.634,1.0105,0.2101,1126.1733,0.5587,0.7578,3.8368,2.6273,0.5587,42.5989,6.4754,1.601,1.1173,0.7041,1116.2237,0.5264,454.3583,3.5642,2068.5898,364.0273,13.4078,56.9704,12.6041,99.2855,3.8545,30.6546,80.0799,10.3018,8.3799,28.6968,0.5167,1.1742,0.428,3.8545,0.428,1.7138,0.428,4.3381,0.428,30.1089,4970.1569,4.2745,116.7478,4.3843,13.6837,3.8928,60.0272,193.6519,7978.7962,1.7968,0.428,42.6001,813.9753,23484.8834,72.3945,0.428,86.3322,0.3961,70.6143,64.6079,47.1071,2255.3259,0.7544,254.1841,685.5117,0.1674,0.4655,253.2999,7337.5403,842.1788,176.4531,85.2009,8.1703,2.6202,5.3429,10.3126,2231.5475,31.6667,1023.3487,1694.2916,4.5158,20.3113,23.4224,8.6076,456.8669,11.1565,2.3565,35.9658,8.1703,231.8733,19.97,4.9159,68.1583,0.8251,0.2148,0.5587,2.0849,1.9682,29.1372,101.3373,2.384,3790.7864,2.0335,2.5453,60.824,45.2746,586.0556,2.095,4.4391,8.0461,248.9213,5.3358,0.7579,0.428,6772.3668,322.6242,11.577,237.8602,12.6584,1407.0814,8.1703,18.7997,6.983,1.9544,1.576,1.248,8.175,3.7831,0.7544,16.1996,1297.8046,16.4137,1966.5862,0.5587,23.0678,6297.8655,2.4732,12791.2235,62.3361,1.4331,338.9121,1.5084,0.4086,338.9121,61.6551,139.8272,8.1704,9.7246,83.9005
AOA,0.008709,0.2031,0.2578,1.0933,0.004245,1.0,0.2605,0.003147,0.004245,0.003924,0.004236,0.004743,0.1991,0.004236,0.00089168,4.7391,0.002371,0.003217,0.01588,0.01116,0.002371,0.1808,0.02653,0.007615,0.004743,0.002942,4.7651,0.002202,1.9293,0.01491,8.669,1.5055,0.05692,0.2388,0.05352,0.4215,0.01616,0.1269,0.3312,0.04275,0.03557,0.1221,0.002166,0.004864,0.00179,0.01616,0.00179,0.007124,0.00179,0.01726,0.00179,0.1247,20.5821,0.01771,0.4835,0.01862,0.05667,0.01632,0.2494,0.8223,33.8792,0.007629,0.00179,0.1809,3.3708,97.0588,0.3074,0.00179,0.3574,0.001681,0.294,0.275,0.1988,9.3396,0.003147,1.0656,2.9108,0.00071057,0.001976,1.0389,27.4238,3.575,0.7444,0.3523,0.03433,0.01085,0.02334,0.0426,9.3396,0.1313,4.2765,7.0163,0.01917,0.08411,0.1006,0.0357,1.8704,0.04737,0.01001,0.1545,0.03433,0.9896,0.08271,0.02059,0.2893,0.003503,0.00091183,0.002371,0.00861,0.008137,0.1237,0.4195,0.0099,15.7643,0.008632,0.01081,0.2506,0.1911,2.3504,0.008893,0.01867,0.03329,1.0626,0.0223,0.003218,0.00179,28.0453,1.336,0.04794,0.9884,0.05307,5.8235,0.03433,0.07983,0.02887,0.008065,0.006916,0.005178,0.03471,0.01569,0.003147,0.06703,5.5359,0.0697,8.1281,0.002372,0.09574,26.1214,0.0105,52.862,0.257,0.005956,1.4208,0.006403,0.001735,1.4208,0.2585,0.5779,0.03433,0.04013,0.3474
ARS,0.03254,0.7779,0.9877,4.1966,0.01586,3.8384,1.0,0.01189,0.01586,0.01505,0.01591,0.01772,0.7639,0.01591,0.003331,18.1905,0.00886,0.01204,0.06085,0.04148,0.00886,0.6741,0.102,0.02927,0.01772,0.01111,17.7322,0.008271,7.1303,0.05642,32.805,5.7729,0.2126,0.8967,0.1986,1.5745,0.06067,0.4861,1.2699,0.1632,0.1329,0.4562,0.008132,0.01868,0.00675,0.06067,0.00675,0.02735,0.00675,0.06626,0.00675,0.4786,79.0021,0.06779,1.8557,0.06937,0.217,0.06127,0.9572,3.0678,120.9908,0.02836,0.00675,0.6741,12.9384,372.549,1.1408,0.00675,1.3706,0.006281,1.1104,1.0231,0.7631,35.8491,0.01189,4.0008,10.8086,0.002655,0.007383,3.9909,104.9043,13.3557,2.8557,1.3512,0.1289,0.04165,0.08665,0.1634,35.8491,0.5041,16.4082,26.9313,0.07145,0.3229,0.3839,0.1367,7.1793,0.1751,0.03743,0.568,0.1289,3.6733,0.3167,0.07756,1.0786,0.01302,0.003406,0.00886,0.03306,0.03121,0.4607,1.6071,0.03781,60.1157,0.03225,0.04018,0.9597,0.7247,9.0218,0.03322,0.07159,0.1276,3.9583,0.08389,0.01204,0.00675,107.6487,5.1282,0.184,3.7939,0.1992,22.3142,0.1289,0.2969,0.1108,0.03096,0.02649,0.01994,0.1292,0.06019,0.01189,0.2571,20.585,0.2604,31.1987,0.00886,0.3658,100.2639,0.03919,202.636,0.9889,0.0229,5.3344,0.02392,0.00648,5.3344,0.9704,2.2174,0.1289,0.154,1.3333
AUD,2.7197,65.3644,83.0544,349.0299,1.3256,317.7805,84.1246,1.0,1.3256,1.2577,1.3401,1.4811,63.0041,1.34,0.2785,1492.8699,0.7406,1.0071,5.1143,3.488,0.7406,56.4381,8.6228,2.0936,1.4811,0.9336,1479.6819,0.6978,603.3583,4.7225,2739.2896,485.4009,17.7735,75.5492,16.7578,131.6138,5.1116,40.8507,106.9991,13.6749,11.1085,38.0408,0.6852,1.5606,0.567,5.1116,0.567,2.2714,0.567,5.8223,0.567,39.9128,6588.5099,5.6937,154.7626,5.8151,18.2341,5.1623,79.5729,256.7493,10576.0707,2.383,0.567,56.4402,1079.0171,31143.3904,96.1514,0.567,115.4801,0.5251,93.5308,86.1022,62.3388,2989.6918,1.0,337.0767,908.9132,0.2219,0.6171,336.3712,9879.1532,1116.4003,233.6122,113.8553,10.844,3.4733,7.0057,13.6907,2970.68,42.1804,1353.6239,2245.9768,5.9895,26.925,30.9668,11.491,608.2418,14.7755,3.1267,47.3533,10.844,309.6922,26.6083,6.5184,90.301,1.0941,0.2847,0.7406,2.7743,2.6307,38.6211,135.0582,3.1641,5040.2012,2.6957,3.3859,80.7218,60.018,784.831,2.7771,5.8647,10.7416,329.9736,7.0716,1.0072,0.567,8977.5446,427.6752,15.3466,315.2951,16.7864,1877.2063,10.844,24.9435,9.2598,2.5935,2.0608,1.6593,10.8393,5.075,1.0,21.4622,1723.8087,21.7781,2610.9418,0.7406,30.7015,8348.6815,3.293,16981.193,83.1342,1.9039,449.4356,1.9995,0.5418,449.4356,81.7615,187.0133,10.8441,12.9168,111.2196
AWG,2.0517,49.0493,62.2847,263.3204,1.0,235.5736,63.0576,0.7544,1.0,0.9477,1.0105,1.1173,47.634,1.0105,0.2101,1126.1733,0.5587,0.7578,3.8368,2.6273,0.5587,42.5989,6.4754,1.601,1.1173,0.7041,1116.2237,0.5264,454.3583,3.5642,2068.5898,364.0273,13.4078,56.9704,12.6041,99.2855,3.8545,30.6546,80.0799,10.3018,8.3799,28.6968,0.5167,1.1742,0.428,3.8545,0.428,1.7138,0.428,4.3381,0.428,30.1089,4970.1569,4.2745,116.7478,4.3843,13.6837,3.8928,60.0272,193.6519,7978.7962,1.7968,0.428,42.6001,813.9753,23484.8834,72.3945,0.428,86.3322,0.3961,70.6143,64.6079,47.1071,2255.3259,0.7544,254.1841,685.5117,0.1674,0.4655,253.2999,7337.5403,842.1788,176.4531,85.2009,8.1703,2.6202,5.3429,10.3126,2231.5475,31.6667,1023.3487,1694.2916,4.5158,20.3113,23.4224,8.6076,456.8669,11.1565,2.3565,35.9658,8.1703,231.8733,19.97,4.9159,68.1583,0.8251,0.2148,0.5587,2.0849,1.9682,29.1372,101.3373,2.384,3790.7864,2.0335,2.5453,60.824,45.2746,586.0556,2.095,4.4391,8.0461,248.9213,5.3358,0.7579,0.428,6772.3668,322.6242,11.577,237.8602,12.6584,1407.0814,8.1703,18.7997,6.983,1.9544,1.576,1.248,8.175,3.7831,0.7544,16.1996,1297.8046,16.4137,1966.5862,0.5587,23.0678,6297.8655,2.4732,12791.2235,62.3361,1.4331,338.9121,1.5084,0.4086,338.9121,61.6551,139.8272,8.1704,9.7246,83.9005
AZN,2.1648,51.6707,65.6133,277.9165,1.0551,254.8485,66.4275,0.7951,1.0551,1.0,1.0659,1.1789,50.7437,1.0659,0.2216,1207.7549,0.5895,0.7997,4.0459,2.7717,0.5895,44.9016,6.7758,1.696,1.1789,0.7421,1177.3215,0.5551,474.131,3.7559,2203.1757,384.8701,14.1472,60.0938,13.3242,104.7603,4.0659,32.2796,84.3593,10.8576,8.842,30.2881,0.545,1.2391,0.4508,4.0659,0.4508,1.8117,0.4508,4.3993,0.4508,31.7758,5245.3222,4.5145,123.2114,4.6235,14.415,4.1063,63.5516,204.9295,8421.884,1.8983,0.4508,44.9018,859.0398,24763.8729,76.5967,0.4508,91.0447,0.4179,74.4665,67.9606,49.7937,2380.1887,0.7951,268.1198,724.697,0.1766,0.4912,267.9873,6968.5099,888.6185,189.6936,89.7539,8.6347,2.7652,5.7737,10.8813,2380.1887,33.4682,1089.953,1788.0936,4.7622,21.4359,25.5,9.0824,476.6673,11.6438,2.482,37.713,8.6347,244.0069,21.0373,5.1752,71.8426,0.869,0.2266,0.5895,2.1954,2.0733,30.5947,106.8263,2.5247,4035.7793,2.1457,2.694,64.1286,48.0598,599.0028,2.2105,4.7554,8.476,262.8125,5.6217,0.7997,0.4508,7147.3088,340.4858,12.2179,251.897,13.3524,1482.2773,8.6347,19.7408,7.3703,2.0627,1.7599,1.3247,8.6261,3.9983,0.7951,17.081,1366.7389,17.3797,2071.4286,0.5895,24.3571,6671.9418,2.6096,13460.5858,65.6876,1.521,357.493,1.5916,0.4311,357.493,65.0353,147.2991,8.6348,10.227,88.5263
BAM,2.0303,48.8308,62.0463,260.4096,0.9896,236.0576,62.8726,0.7462,0.9896,0.9382,1.0,1.1057,47.0898,1.0,0.2079,1108.5013,0.5528,0.75,3.8223,2.6035,0.5528,42.1557,6.4219,1.5622,1.1057,0.6968,1104.6085,0.5209,450.467,3.5272,2047.2681,362.7752,13.2683,56.3776,12.4806,98.2523,3.8144,30.5308,79.9344,10.2084,8.2927,28.8453,0.5113,1.1658,0.4235,3.8144,0.4235,1.6947,0.4235,4.3495,0.4235,29.7956,4918.4385,4.2553,115.533,4.3384,13.6219,3.8523,59.4026,191.7547,7850.2613,1.7795,0.4235,42.1333,805.5052,23235.9425,71.7712,0.4235,85.5417,0.392,69.8808,64.2514,46.5107,2231.8575,0.7465,251.5391,677.7134,0.1656,0.4607,251.0336,7302.2828,833.4152,174.5817,85.0563,8.0853,2.5929,5.2304,10.2125,2215.6777,31.513,1011.7103,1676.6612,4.4688,20.1,23.1077,8.5844,454.3784,11.0458,2.338,35.3746,8.0853,231.3575,19.8779,4.8646,67.4491,0.816,0.2126,0.5528,2.0702,1.9653,28.7457,100.939,2.3604,3766.8976,2.0124,2.5203,60.2049,44.8376,586.2968,2.0732,4.3789,8.0246,246.3311,5.2804,0.75,0.4235,6701.895,319.2671,11.4565,235.5367,12.5267,1402.3785,8.0853,18.603,6.9087,1.9347,1.5395,1.2389,8.0958,3.8398,0.7465,15.9884,1287.7468,16.2537,1950.467,0.5528,22.9455,6228.9016,2.4632,12618.6479,62.0727,1.4216,335.3855,1.4927,0.4044,335.3855,61.0135,139.7094,8.0887,9.6493,83.8395
BBD,1.8362,43.8992,55.7448,235.6718,0.895,210.8384,56.4366,0.6752,0.895,0.8482,0.9044,1.0,42.6324,0.9044,0.188,1007.9251,0.5,0.6783,3.4339,2.3514,0.5,38.1261,5.7955,1.4329,1.0,0.6301,999.0202,0.4711,406.6506,3.19,1851.3879,325.8044,12.0,50.9885,11.2807,88.8605,3.4498,27.4358,71.6716,9.2201,7.5,25.6836,0.4624,1.0509,0.383,3.4498,0.383,1.5339,0.383,3.8826,0.383,26.9475,4448.2905,3.8256,104.4893,3.9239,12.2469,3.4841,53.7244,173.3185,7141.0226,1.6081,0.383,38.1271,728.5079,21018.9707,64.7931,0.383,77.2673,0.3545,63.1998,57.8241,42.1609,2018.5167,0.6752,227.4948,613.533,0.1498,0.4167,226.7034,6567.0986,753.75,157.9256,76.2548,7.3125,2.3451,4.7819,9.2298,1997.235,28.3417,915.8971,1516.391,4.0416,18.1787,20.9631,7.7038,408.8959,9.985,2.1091,32.1894,7.3125,207.5266,17.8732,4.3997,61.0017,0.7384,0.1922,0.5,1.866,1.7615,26.0778,90.6969,2.1337,3392.7539,1.82,2.2781,54.4375,40.5207,524.5197,1.875,3.973,7.2012,222.7846,4.7755,0.6783,0.383,6061.2683,288.7487,10.3614,212.8849,11.3292,1259.3379,7.3125,16.8257,6.2498,1.7492,1.4106,1.117,7.3166,3.3858,0.6752,14.4987,1161.5351,14.6902,1760.0946,0.5,20.6457,5636.5896,2.2135,11448.145,55.7908,1.2826,303.3264,1.35,0.3657,303.3264,55.1813,125.1454,7.3125,8.7035,75.0909
BDT,0.04307,1.0183,1.293,5.4904,0.02099,5.0218,1.3091,0.01587,0.02099,0.01971,0.02124,0.02346,1.0,0.02124,0.00441,23.7989,0.01173,0.01594,0.07973,0.05443,0.01173,0.8854,0.1335,0.03831,0.02346,0.01481,23.1993,0.01107,9.3452,0.07456,43.4177,7.5846,0.2815,1.1972,0.2595,2.0843,0.081,0.6361,1.6625,0.2142,0.1759,0.5968,0.01086,0.02442,0.008988,0.081,0.008989,0.03578,0.008988,0.08669,0.008988,0.6261,103.3597,0.08897,2.4279,0.09213,0.2841,0.08181,1.2523,3.9934,164.6726,0.03709,0.008988,0.8854,16.9275,487.4118,1.5199,0.008988,1.7942,0.008315,1.4833,1.3393,0.9983,46.9019,0.01587,5.3417,14.2358,0.003514,0.009773,5.2336,137.3274,17.6802,3.6783,1.7688,0.1721,0.05449,0.1138,0.2139,46.9019,0.6595,21.4836,35.2346,0.09489,0.4224,0.4838,0.179,9.3928,0.2295,0.04914,0.7431,0.1721,4.8086,0.4146,0.1034,1.4166,0.01735,0.004509,0.01173,0.04326,0.04086,0.6033,2.1052,0.0493,79.5326,0.04269,0.05257,1.2563,0.9566,11.8034,0.04398,0.09371,0.167,5.1787,0.1122,0.01594,0.008988,140.8385,6.7093,0.2408,4.9637,0.266,29.211,0.1721,0.3952,0.145,0.0405,0.03468,0.02611,0.169,0.07879,0.01587,0.3369,26.9317,0.3411,40.8177,0.01173,0.48,131.1768,0.05192,265.2659,1.2945,0.02997,7.1223,0.03167,0.008578,7.1223,1.2957,2.9028,0.1721,0.2015,1.7444
