,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,FOK,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KID,KMF,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STN,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XDR,XOF,XPF,YER,ZAR,ZMW,ZWL
AED,1.0,23.9252,30.2002,129.9378,0.4874,120.6948,30.3432,0.361,0.4874,0.461,0.4883,0.5446,23.2868,0.4883,0.1024,553.7009,0.2723,0.3703,1.8679,1.2728,0.2723,20.6207,3.1412,0.8249,0.5446,0.3408,542.4175,0.254,214.0448,1.7317,1014.5728,178.5275,6.5351,27.5308,6.11,48.3924,1.8627,14.9343,38.8265,4.9661,4.0844,13.9356,0.2497,0.5662,0.2082,1.8627,0.2082,0.8374,0.2082,2.0689,0.2082,14.6247,2420.1126,2.0823,56.6621,2.1349,6.6473,1.8812,29.0791,94.5328,3922.1704,0.8803,0.2082,20.6213,395.2217,11405.826,35.1976,0.2082,41.7834,0.1931,33.7182,31.3293,23.3086,1096.506,0.361,122.8337,331.235,0.08159,0.2269,126.4042,3406.9948,410.4833,82.107,41.3684,3.9898,1.2654,2.6063,4.9837,1042.8978,15.3177,489.1787,816.3824,2.1989,9.8536,12.0672,4.1849,222.2022,5.4738,1.145,17.4491,3.9898,112.6731,9.7016,2.3906,32.9931,0.393,0.1047,0.2723,1.0054,0.9552,13.9779,50.5162,1.1592,1892.9967,0.9912,1.2328,29.3557,22.5494,281.4141,1.0211,2.1613,3.8993,120.8096,2.5758,0.3703,0.2082,3204.4704,156.6649,5.6047,115.8446,6.1171,681.212,3.9898,9.1463,3.3975,0.9501,0.7845,0.606,4.0102,1.8359,0.361,7.8028,630.1485,7.971,964.9069,0.2723,11.2364,3096.8908,1.2002,6212.7599,30.0101,0.6961,163.7783,0.7352,0.1984,163.7783,29.7946,67.8485,3.9899,4.772,39.549
AFN,0.0418,1.0,1.2623,5.4276,0.02037,5.0522,1.2668,0.01492,0.02037,0.01925,0.02022,0.02276,0.9772,0.02022,0.004279,23.2954,0.01138,0.01534,0.07807,0.05271,0.01138,0.856,0.1307,0.03711,0.02276,0.01411,22.7065,0.01053,8.8758,0.07182,42.3882,7.4496,0.2731,1.1397,0.2526,2.0226,0.07711,0.6242,1.6228,0.2072,0.1707,0.5836,0.01034,0.02361,0.008628,0.07711,0.008628,0.03497,0.008628,0.08488,0.008628,0.6132,101.4665,0.08705,2.3756,0.08848,0.2778,0.07788,1.2217,3.9052,162.0962,0.03638,0.008628,0.856,16.5702,475.5,1.4712,0.008628,1.7405,0.008069,1.3985,1.3052,0.9739,45.9725,0.01492,5.085,13.7515,0.00341,0.009484,5.2546,133.8464,17.1569,3.4564,1.7291,0.1653,0.05305,0.1101,0.2079,45.8855,0.6423,20.1525,34.2279,0.09113,0.4131,0.5077,0.1749,9.2718,0.2261,0.04758,0.7282,0.1653,4.711,0.4055,0.09878,1.3695,0.01625,0.004376,0.01138,0.04193,0.03992,0.5805,2.1131,0.04833,78.3222,0.04143,0.05109,1.2247,0.9504,11.5506,0.04268,0.09152,0.163,5.0522,0.1063,0.01534,0.008628,134.3518,6.5684,0.235,4.8598,0.2532,28.473,0.1653,0.3794,0.142,0.03965,0.03378,0.02541,0.1664,0.07676,0.01492,0.3255,26.3592,0.3315,40.3838,0.01138,0.4691,129.336,0.05017,258.9661,1.2512,0.02919,6.78,0.03073,0.008291,6.78,1.2334,2.8359,0.1653,0.1993,1.6553
ALL,0.03311,0.7922,1.0,4.2903,0.01614,3.9935,1.0036,0.01189,0.01614,0.01525,0.01611,0.01803,0.7742,0.01611,0.00339,18.414,0.009016,0.01222,0.06185,0.042,0.009016,0.682,0.1036,0.0294,0.01803,0.01124,17.9485,0.00839,7.0723,0.05723,33.5803,5.9018,0.2164,0.9081,0.2013,1.6024,0.06144,0.4945,1.2856,0.1641,0.1352,0.4613,0.008236,0.0187,0.006875,0.06144,0.006875,0.02764,0.006875,0.06709,0.006875,0.4847,80.205,0.06896,1.8778,0.0705,0.2201,0.06205,0.9657,3.1117,129.1601,0.02899,0.006875,0.682,13.0981,375.8627,1.1655,0.006875,1.3788,0.006393,1.1143,1.034,0.7698,36.3393,0.01189,4.0518,10.9574,0.002702,0.007514,4.1627,106.0332,13.5921,2.7382,1.3698,0.1317,0.04194,0.08721,0.1647,36.2706,0.5077,15.965,27.0558,0.07262,0.3266,0.4022,0.1386,7.329,0.1802,0.03791,0.5756,0.1317,3.7321,0.3212,0.07871,1.0913,0.01295,0.003467,0.009016,0.03322,0.03163,0.4625,1.674,0.03829,62.0481,0.03282,0.04071,0.9702,0.7529,9.1303,0.03381,0.0725,0.1291,3.9935,0.08471,0.01222,0.006875,106.1994,5.192,0.1857,3.8415,0.2018,22.5565,0.1317,0.3023,0.1122,0.03134,0.02676,0.02013,0.1326,0.06081,0.01189,0.2579,20.8359,0.2641,31.9217,0.009016,0.3716,102.2347,0.03974,205.1542,0.9912,0.02312,5.4024,0.02434,0.006568,5.4024,0.9828,2.2466,0.1317,0.1575,1.3085
AMD,0.007696,0.1842,0.2331,1.0,0.003751,0.9308,0.2339,0.002763,0.003751,0.003554,0.003749,0.004191,0.1804,0.003749,0.00078794,4.292,0.002096,0.002842,0.0144,0.009726,0.002096,0.1583,0.02413,0.006283,0.004191,0.002612,4.1835,0.001952,1.6473,0.01332,7.8249,1.371,0.05029,0.2113,0.04687,0.3724,0.0143,0.115,0.2993,0.03829,0.03143,0.1075,0.001917,0.004358,0.001598,0.0143,0.001598,0.006444,0.001598,0.01564,0.001598,0.113,18.6946,0.01607,0.4377,0.01639,0.05136,0.01444,0.2251,0.7272,30.1853,0.006761,0.001598,0.1583,3.053,87.779,0.2718,0.001598,0.3214,0.001486,0.2592,0.2409,0.1794,8.4701,0.002763,0.9429,2.5536,0.0006279,0.001746,0.9717,24.7535,3.1591,0.6381,0.3191,0.03072,0.009775,0.02031,0.03843,8.4541,0.1183,3.7202,6.3063,0.01688,0.07612,0.09406,0.03234,1.7083,0.04213,0.008812,0.1342,0.03072,0.8697,0.0749,0.01831,0.2532,0.003008,0.00080574,0.002096,0.007741,0.007372,0.1076,0.3902,0.008921,14.4362,0.007628,0.009503,0.2262,0.1739,2.1281,0.007858,0.0169,0.03016,0.9308,0.0197,0.002842,0.001598,24.7535,1.2102,0.04329,0.8954,0.04696,5.2565,0.03072,0.07039,0.02615,0.00732,0.006243,0.004685,0.0309,0.01415,0.002763,0.06009,4.8565,0.06152,7.4405,0.002096,0.08659,23.8337,0.009237,47.8475,0.2304,0.005395,1.2573,0.005658,0.001516,1.2573,0.2287,0.5235,0.03072,0.03671,0.305
ANG,2.0517,49.0868,61.961,266.5902,1.0,247.6267,62.2544,0.7406,1.0,0.9459,1.0019,1.1173,47.7769,1.0019,0.2101,1136.0149,0.5587,0.7597,3.8324,2.6113,0.5587,42.307,6.4447,1.6924,1.1173,0.6992,1112.865,0.5212,439.1506,3.5528,2081.5746,366.2806,13.4078,56.4843,12.5357,99.2855,3.8216,30.6402,79.6593,10.1889,8.3799,28.5914,0.5123,1.1617,0.4273,3.8216,0.4273,1.718,0.4273,4.2448,0.4273,30.0051,4965.2869,4.2722,116.2523,4.3801,13.6381,3.8596,59.6609,193.9507,8047.0227,1.806,0.4273,42.3082,810.8668,23401.0593,72.2141,0.4273,85.7261,0.3961,69.1788,64.2776,47.8217,2249.675,0.7406,252.015,679.5869,0.1674,0.4655,259.3405,6990.0493,842.1788,168.4569,84.8745,8.1859,2.5962,5.3473,10.225,2139.6883,31.427,1003.6362,1674.9521,4.5115,20.2164,24.758,8.586,455.8869,11.2304,2.3492,35.7999,8.1859,231.1686,19.9045,4.9047,67.6912,0.8063,0.2148,0.5587,2.0628,1.9597,28.6782,103.6428,2.3784,3883.8158,2.0335,2.5293,60.2285,46.2641,577.3706,2.095,4.4343,8.0001,247.8622,5.2848,0.7597,0.4273,6574.535,321.4257,11.4991,237.6757,12.5504,1397.6263,8.1859,18.7652,6.9706,1.9493,1.6096,1.2433,8.2275,3.7667,0.7406,16.0088,1292.8606,16.3539,1979.6764,0.5587,23.0535,6353.8165,2.4624,12746.5703,61.571,1.4281,336.0201,1.5084,0.407,336.0201,61.1289,139.2031,8.1859,9.7905,81.1417
AOA,0.008285,0.1979,0.2504,1.0743,0.004038,1.0,0.2513,0.002947,0.004038,0.003818,0.003988,0.004512,0.1938,0.003988,0.00084828,4.611,0.002256,0.003068,0.01547,0.01055,0.002256,0.1708,0.02592,0.007373,0.004512,0.002783,4.5257,0.002077,1.7737,0.01415,8.4063,1.4728,0.05415,0.2249,0.05063,0.4009,0.01521,0.1236,0.3216,0.04108,0.03384,0.1161,0.002039,0.004682,0.001702,0.01521,0.001702,0.006922,0.001702,0.0168,0.001702,0.1214,20.0837,0.01726,0.4702,0.01769,0.05517,0.01536,0.2418,0.7834,32.5005,0.007294,0.001702,0.1709,3.2798,94.1176,0.2917,0.001702,0.3453,0.0016,0.2758,0.2602,0.1928,9.0995,0.002947,1.0033,2.7447,0.00067598,0.00188,1.0403,26.5928,3.401,0.6855,0.3429,0.03258,0.0105,0.02194,0.04124,9.0823,0.1271,3.9967,6.7749,0.01822,0.08177,0.1011,0.03474,1.8352,0.04536,0.009488,0.1458,0.03258,0.9394,0.08047,0.0195,0.2734,0.003257,0.00086745,0.002256,0.008316,0.007919,0.1158,0.4192,0.0096,15.5089,0.008212,0.01022,0.243,0.1886,2.2863,0.00846,0.01815,0.0324,1.008,0.02103,0.003068,0.001702,26.5928,1.3001,0.04651,0.9619,0.04996,5.6471,0.03258,0.07579,0.0281,0.007849,0.006707,0.005033,0.03323,0.0152,0.002947,0.06456,5.2494,0.06605,7.9933,0.002256,0.09302,25.6,0.009945,51.4029,0.2476,0.005796,1.3377,0.006091,0.001644,1.3377,0.2434,0.5624,0.03258,0.03944,0.3276
ARS,0.03296,0.7894,0.9964,4.2748,0.01606,3.9792,1.0,0.01181,0.01606,0.0152,0.01605,0.01795,0.7714,0.01605,0.003374,18.3477,0.008974,0.01217,0.06156,0.04177,0.008974,0.6763,0.1032,0.02929,0.01795,0.01117,17.8839,0.008334,7.0249,0.05706,33.4366,5.8836,0.2154,0.9047,0.2001,1.5948,0.06121,0.4922,1.281,0.1634,0.1346,0.4597,0.008205,0.01867,0.006846,0.06121,0.006846,0.02755,0.006846,0.06685,0.006846,0.4829,79.9163,0.06863,1.8711,0.07018,0.2193,0.06182,0.9622,3.0931,135.6058,0.02881,0.006846,0.6763,13.0509,374.5098,1.153,0.006846,1.3739,0.006362,1.1076,1.0303,0.7671,36.2085,0.01181,4.0366,10.8381,0.002689,0.007478,4.1551,105.6528,13.528,2.7284,1.3649,0.1312,0.04179,0.0869,0.1641,36.14,0.5059,15.9077,26.9584,0.07228,0.3254,0.4008,0.1381,7.3026,0.179,0.03771,0.5736,0.1312,3.7187,0.3201,0.07834,1.082,0.01288,0.00345,0.008974,0.03309,0.03151,0.4593,1.6648,0.03814,62.3845,0.03266,0.04054,0.9667,0.7457,9.0974,0.03365,0.07224,0.1287,3.9792,0.08433,0.01217,0.006846,105.8172,5.1733,0.1851,3.8277,0.201,22.4756,0.1312,0.3005,0.1118,0.03123,0.02666,0.02006,0.1319,0.06059,0.01181,0.2568,20.7609,0.2623,31.8068,0.008974,0.3703,101.8667,0.03939,204.4181,0.9877,0.02304,5.3821,0.02423,0.006537,5.3821,0.9791,2.2386,0.1312,0.1569,1.3038
AUD,2.7701,67.0416,84.1374,361.94,1.3502,339.287,84.646,1.0,1.3502,1.2833,1.3537,1.5086,64.2391,1.3539,0.2836,1533.8559,0.7543,1.0276,5.2097,3.5355,0.7543,57.1759,8.7501,2.2095,1.5086,0.9445,1502.5983,0.7041,595.927,4.8096,2829.0831,500.0371,18.103,76.3182,16.9833,134.0538,5.1636,41.7085,108.4695,13.825,11.3144,38.6044,0.6921,1.5724,0.5771,5.1636,0.5771,2.3326,0.5771,5.8897,0.5771,40.5132,6704.1659,5.804,156.9647,5.9189,18.47,5.2149,80.5545,261.9391,10862.2885,2.4407,0.5771,57.1741,1094.8382,31806.2474,97.9084,0.5771,115.9645,0.5348,93.4568,87.6783,64.9144,3037.5273,1.0,340.5079,918.4038,0.226,0.6286,352.6189,9807.3851,1137.0974,226.5042,115.3811,11.0622,3.5054,7.2018,13.8821,2746.5581,42.9212,1365.9364,2261.5323,6.0962,27.2963,33.351,11.6178,620.7882,15.1547,3.1842,48.3132,11.0622,314.1968,27.0032,6.6242,91.4814,1.0884,0.29,0.7543,2.791,2.6614,38.6982,140.6308,3.2141,5340.0591,2.7456,3.4254,81.4839,62.5316,800.7084,2.8286,5.9311,10.8036,334.6653,7.1337,1.0276,0.5771,8876.9842,433.9912,15.5261,321.6863,16.9573,1898.8961,11.0622,25.3965,9.4611,2.6481,2.1282,1.6752,11.1276,5.1385,1.0,21.6121,1756.5144,22.1759,2686.6103,0.7543,31.3592,8627.2414,3.3397,17265.6705,83.3272,1.9209,454.0105,2.0366,0.552,454.0105,82.5938,189.1777,11.0626,13.321,109.5581
AWG,2.0517,49.0868,61.961,266.5902,1.0,247.6267,62.2544,0.7406,1.0,0.9459,1.0019,1.1173,47.7769,1.0019,0.2101,1136.0149,0.5587,0.7597,3.8324,2.6113,0.5587,42.307,6.4447,1.6924,1.1173,0.6992,1112.865,0.5212,439.1506,3.5528,2081.5746,366.2806,13.4078,56.4843,12.5357,99.2855,3.8216,30.6402,79.6593,10.1889,8.3799,28.5914,0.5123,1.1617,0.4273,3.8216,0.4273,1.718,0.4273,4.2448,0.4273,30.0051,4965.2869,4.2722,116.2523,4.3801,13.6381,3.8596,59.6609,193.9507,8047.0227,1.806,0.4273,42.3082,810.8668,23401.0593,72.2141,0.4273,85.7261,0.3961,69.1788,64.2776,47.8217,2249.675,0.7406,252.015,679.5869,0.1674,0.4655,259.3405,6990.0493,842.1788,168.4569,84.8745,8.1859,2.5962,5.3473,10.225,2139.6883,31.427,1003.6362,1674.9521,4.5115,20.2164,24.758,8.586,455.8869,11.2304,2.3492,35.7999,8.1859,231.1686,19.9045,4.9047,67.6912,0.8063,0.2148,0.5587,2.0628,1.9597,28.6782,103.6428,2.3784,3883.8158,2.0335,2.5293,60.2285,46.2641,577.3706,2.095,4.4343,8.0001,247.8622,5.2848,0.7597,0.4273,6574.535,321.4257,11.4991,237.6757,12.5504,1397.6263,8.1859,18.7652,6.9706,1.9493,1.6096,1.2433,8.2275,3.7667,0.7406,16.0088,1292.8606,16.3539,1979.6764,0.5587,23.0535,6353.8165,2.4624,12746.5703,61.571,1.4281,336.0201,1.5084,0.407,336.0201,61.1289,139.2031,8.1859,9.7905,81.1417
AZN,2.169,51.9399,65.5627,281.3563,1.0572,261.8958,65.7988,0.7793,1.0572,1.0,1.057,1.1812,50.7567,1.057,0.2221,1207.5889,0.5906,0.8014,4.0552,2.7458,0.5906,44.6811,6.7903,1.8089,1.1812,0.7367,1177.0599,0.5503,463.3648,3.7516,2201.6156,386.9342,14.1746,59.589,13.2144,104.9632,4.0317,32.4198,84.2896,10.7708,8.8591,30.2551,0.5404,1.2262,0.4506,4.0317,0.4506,1.8157,0.4506,4.4001,0.4506,31.7851,5259.8326,4.5212,123.1485,4.6213,14.4309,4.0718,63.33,204.387,8462.3116,1.9013,0.4506,44.6811,858.9682,24704.9648,76.4748,0.4506,90.4009,0.4187,73.0905,67.791,50.5349,2383.128,0.7793,265.8675,718.2956,0.177,0.4922,273.5929,6951.8318,890.3392,179.5242,89.808,8.6385,2.7502,5.7179,10.8097,2378.6187,33.2945,1046.7096,1774.3119,4.7599,21.4157,26.3713,9.0849,480.6347,11.8045,2.4838,37.7508,8.6385,244.684,21.0615,5.1646,71.4897,0.8485,0.2271,0.5906,2.178,2.0736,30.3033,109.7531,2.5116,4068.0371,2.1498,2.6716,63.6281,49.3025,598.7616,2.2148,4.7535,8.4652,261.8958,5.5592,0.8014,0.4506,6964.5429,340.493,12.1812,251.9238,13.2402,1478.8675,8.6385,19.8051,7.366,2.0596,1.7542,1.3196,8.6919,3.9869,0.7793,16.9065,1366.413,17.35,2093.4221,0.5906,24.366,6708.9025,2.6032,13450.4689,64.9865,1.516,354.49,1.5946,0.4302,354.49,64.489,147.2947,8.6385,10.3295,85.8089
